,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
52,84039,AX2,"(Si,Ti)O2",0.044000000000000004,14,monoclinic,P,288.0,288.0,288.0,288.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP288,e72,i,2,O192_Si96,2,O-2,Si+4,,,,,
53,280365,AX2,"(Si,Ti)O2",0.0293,14,monoclinic,P,288.0,288.0,288.0,288.0,badcount_n,po_n,undet_n,ct_n,100,noPress,mP288,e72,i,2,O24_Si12,2,O-2,Si+4,,,,,
54,247199,AB2C2X6,"(Sr,Ba)Cu2(BO3)2",0.0177,121,tetragonal,I,22.0,44.0,44.0,44.0,badcount_n,po_n,undet_n,ct_n,293,noPress,tI44,j_i3_c,i,4,B2_Cu2_O6_Sr1,4,B+3,Cu+2,O-2,Sr+2,,,
55,180892,AB2C5X10,"(Sr,Bi)3NiO5-x",0.06,139,tetragonal,I,18.0,36.0,36.0,36.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,tI36,g_f_e3_c_b_a,f,4,Bi1_Ni2_O10_Sr5,4,Bi+3,Ni+3.5,O-2,Sr+2,,,
56,189915,AB2X6,"(Sr,Pb)(NO3)2",0.019,148,trigonal/rhombohedral,R,36.0,108.0,108.0,108.0,badcount_n,po_n,undet_n,ct_n,120,noPress,hR36,f5_e_c_a,i,3,Co1_N2_O6,3,Co+2,N+5,O-2,,,,
57,189916,AB2X6,"(Sr,Pb)(NO3)2",0.025,148,trigonal/rhombohedral,R,36.0,108.0,108.0,108.0,badcount_n,po_n,undet_n,ct_n,120,noPress,hR36,f5_e_c_a,i,3,N2_Ni1_O6,3,N+5,Ni+2,O-2,,,,
58,66313,AB2X10,(UO2)2SiO4(H2O)2,0.013999999999999999,70,orthorhombic,F,34.0,136.0,136.0,136.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oF136,h2_g2_a,i,4,H4_O10_Si1_U2,4,H+1,O-2,Si+4,U+6,,,
59,94867,A2B2X11,(VO)2H4P2O9,0.068,14,monoclinic,P,76.0,76.0,76.0,76.0,badcount_n,po_n,undet_n,ct_n,143,noPress,mP76,e15,i,4,H2_O5.5_P1_V1,4,H+1,O-2,P+5,V+4,,,
60,61510,A2B2X11,(VO)2H4P2O9,0.068,14,monoclinic,P,76.0,76.0,76.0,76.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP76,e15,i,4,H4_O11_P2_V2,4,H+1,O-2,P+5,V+4,,,
61,88661,A2B2X9,(VO)2P2O7,0.011000000000000001,29,orthorhombic,P,104.0,104.0,104.0,104.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oP104,a26,i,3,O9_P2_V2,3,O-2,P+5,V+4,,,,
62,100140,ABCX5,100140,0.057999999999999996,74,orthorhombic,I,20.0,40.0,40.0,40.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oI40,i_h_e2_d_b,i,5,C1_H2_Al1_Na1_O5,5,Al+3,C+4,H+1,Na+1,O-2,,
63,10015,A2X5,10015,,92,tetragonal,P,28.0,28.0,28.0,28.0,badcount_n,po_n,undet_n,ct_n,538,noPress,tP28,b2_a3,i,2,As2_O5,2,As+5,O-2,,,,,
64,100151,A2B4X13,100151,0.049,14,monoclinic,P,76.0,76.0,76.0,76.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP76,e19,i,3,O26_P4_Te8,3,O-2,P+5,Te+4,,,,
65,100194,A2B2X7,100194,0.040999999999999995,14,monoclinic,P,22.0,22.0,22.0,22.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP22,e5_b,i,3,Ni2_O7_P2,3,Ni+2,O-2,P+5,,,,
66,100203,AB3C4X9,100203,0.08900000000000001,5,monoclinic,B,34.0,68.0,68.0,68.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mS68,c14_b3_a3,i,4,Ba1_Ge3_K4_O9,4,Ba+2,Ge+4,K+1,O-2,,,
67,100269,AB3X7,100269,0.073,61,orthorhombic,P,88.0,88.0,88.0,88.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oP88,c11,i,3,Ge3_O7_Pb1,3,Ge+4,O-2,Pb+2,,,,
