Compound,formula,Z,Period,Group,m,kai,EA,Nval,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
CdGa2Te4,CdGa2Te4,45.42857143,4.714285714,14.57142857,108.8914286,1.958571429,1.211885714,0,8.147260286,18.90551571,2.022857143,1.334285714,584.3840286,1584.15,0.255,25.85714286,6.488285714,12.49714286,116.3585714,0.267714286
CdI2,CdI2,51.33333333,5,15.33333333,122.0666667,2.336666667,2.0394,0,9.965446667,18.39030333,2.046666667,1.373333333,455.973,651.75,0.219666667,44.96,6.176666667,7.273333333,47.22333333,0.32566
CdIn2O4,CdIn2O4,25.42857143,3.285714286,14.57142857,58,2.715714286,0.920640857,0,10.71982,27.87618714,1.731428571,0.971428571,238.737,857.3145714,0.624142857,28.14457143,4.140857143,1.958285714,80.88765714,0.371581371
CdIn2S4,CdIn2S4,30,3.857142857,14.57142857,67.18285714,2.224285714,1.27264,0,8.858082857,21.14291857,1.891428571,1.2,429.5941429,1215.927143,0.504142857,24.32857143,4.444285714,2.82,84.65285714,0.372965714
CdIn2Se4,CdIn2Se4,40.28571429,4.428571429,14.57142857,93.97714286,2.207142857,1.24,0,8.510871429,19.91555857,1.948571429,1.28,489.9312857,1353.292857,0.283,25.85028571,6.078,4.917142857,93.97857143,0.383085714
CdIn2Te4,CdIn2Te4,50.57142857,5,14.57142857,121.7714286,1.95,1.211885714,0,8.08642,18.43555857,2.04,1.388571429,620.6227143,1526.435714,0.215,26.06,6.89,11.83142857,107.87,0.384857143
CdLa2O4,CdLa2O4,27.71428571,3.571428571,11.71428571,64.88571429,2.521428571,0.977783714,0,10.65997429,25.64438714,1.874285714,1.12,456.8512857,1267.886,0.613285714,28.25028571,3.808285714,2.798285714,130.3790857,0.177009943
CdLa2S4,CdLa2S4,32.28571429,4.142857143,11.71428571,74.06857143,2.03,1.329782857,0,8.798237143,18.91111857,2.034285714,1.348571429,647.7084286,1626.498571,0.493285714,24.43428571,4.111714286,3.66,134.1442857,0.178394286
CdLa2Se4,CdLa2Se4,42.57142857,4.714285714,11.71428571,100.8628571,2.012857143,1.297142857,0,8.451025714,17.68375857,2.091428571,1.428571429,708.0455714,1763.864286,0.272142857,25.956,5.745428571,5.757142857,143.47,0.188514286
CdLa2Te4,CdLa2Te4,52.85714286,5.285714286,11.71428571,128.6571429,1.755714286,1.269028571,0,8.026574286,16.20375857,2.182857143,1.537142857,838.737,1937.007143,0.204142857,26.16571429,6.557428571,12.67142857,157.3614286,0.190285714
CdO,CdO,28,3.5,14,64.2,2.565,0.73056075,0,11.305935,26.014705,1.85,1.02,324.2895,565.169,0.5745,27.699,5.0395,3.261,51.64045,0.4841337
CdS,CdS,32,4,14,72.235,2.135,1.03856,0,9.676915,20.123095,1.99,1.22,491.2895,878.955,0.4695,24.36,5.305,4.015,54.935,0.485345
CdO4Sc2,CdSc2O4,17.42857143,3,11.71428571,38.04571429,2.595714286,0.888640857,0,10.94128571,26.14175,1.794285714,1.02,634.2798571,1088.457429,0.719857143,27.796,2.905142857,5.598285714,103.3019429,0.183581371
CdS4Sc2,CdSc2S4,22,3.571428571,11.71428571,47.22857143,2.104285714,1.24064,0,9.079548571,19.40848143,1.954285714,1.248571429,825.137,1447.07,0.599857143,23.98,3.208571429,6.46,107.0671429,0.184965714
CdSc2Se4,CdSc2Se4,32.28571429,4.142857143,11.71428571,74.02285714,2.087142857,1.208,0,8.732337143,18.18112143,2.011428571,1.328571429,885.4741429,1584.435714,0.378714286,25.50171429,4.842285714,8.557142857,116.3928571,0.195085714
CdSc2Te4,CdSc2Te4,42.57142857,4.714285714,11.71428571,101.8171429,1.83,1.179885714,0,8.307885714,16.70112143,2.102857143,1.437142857,1016.165571,1757.578571,0.310714286,25.71142857,5.654285714,15.47142857,130.2842857,0.196857143
CdSe,CdSe,41,4.5,14,95.68,2.12,1.01,0,9.373105,19.049155,2.04,1.29,544.0845,999.15,0.276,25.6915,6.7345,5.85,63.095,0.4942
CdTe,CdTe,50,5,14,120,1.895,0.9854,0,9.00171,17.754155,2.12,1.385,658.4395,1150.65,0.2165,25.875,7.445,11.9,75.25,0.49575
CdO4Y2,CdY2O4,22.57142857,3.285714286,11.71428571,50.60285714,2.555714286,0.922640857,0,10.84294571,25.97724429,1.842857143,1.068571429,628.8512857,1233.886,0.642714286,28.08457143,3.33,4.284,120.0162286,0.187581371
CdS4Y2,CdY2S4,27.14285714,3.857142857,11.71428571,59.78571429,2.064285714,1.27464,0,8.981208571,19.24397571,2.002857143,1.297142857,819.7084286,1592.498571,0.522714286,24.26857143,3.633428571,5.145714286,123.7814286,0.188965714
CdSe4Y2,CdY2Se4,37.42857143,4.428571429,11.71428571,86.58,2.047142857,1.242,0,8.633997143,18.01661571,2.06,1.377142857,880.0455714,1729.864286,0.301571429,25.79028571,5.267142857,7.242857143,133.1071429,0.199085714
CdTe4Y2,CdY2Te4,47.71428571,5,11.71428571,114.3742857,1.79,1.213885714,0,8.209545714,16.53661571,2.151428571,1.485714286,1010.737,1903.007143,0.233571429,26,6.079142857,14.15714286,146.9985714,0.200857143
AsCs3,Cs3As,49.5,5.5,4.5,118.405,1.1375,0.5562225,0,5.36757875,22.01538,3.035,2.085,498.775,930.4,0.26375,30.3175,2.841,8.4925,58.905,0.39475
