name,Z,Period,Group,m,kai,EA,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
YSb,45.0,5.0,9.0,105.355,1.635,0.6885,7.412845,14.427,2.19,1.58,1349.464,2739.15,0.2525,25.88,5.5845,15.55,215.635,0.2075
Zn3As2,31.2,4.0,13.2,69.202,1.862,0.324,9.5519594,18.214314,1.946,1.2,851.6662,1063.75,0.3644,25.09,6.5748,15.49,82.14,0.8968
Zn3N2,20.8,3.2,13.2,44.838,2.206,-0.028,11.4501594,22.619154,1.826,1.004,440.8662,739.032,0.6488,26.8836,4.7844,4.554,70.29712,0.69610392
Zn3P2,24.0,3.6,13.2,51.622,1.866,0.2986,9.8311954,18.686434,1.926,1.156,542.5262,929.55,0.5404,24.7636,5.0132,4.666,74.14,0.69694
ZnBr2,33.3333333333,4.0,15.3333333333,75.0633333333,2.52333333333,2.24333333333,11.0072663333,20.38213,1.90333333333,1.18,408.192333333,614.683333333,0.445333333333,58.9233333333,4.46,6.31666666667,48.25,0.38748
ZnCl2,21.3333333333,3.33333333333,15.3333333333,45.43,2.65666666667,2.41133333333,11.7764863333,21.8638633333,1.83666666667,1.06666666667,345.325666667,552.79,0.448666666667,31.096,4.52266666667,4.58333333333,45.2333333333,0.386726
ZnF2,16.0,2.66666666667,15.3333333333,34.4633333333,3.20333333333,2.266,14.7465996667,29.3019966667,1.65,0.8,266.545666667,450.076666667,0.678666666667,29.3326666667,3.51066666667,2.62333333333,40.6132,0.386852666667
ZnI2,45.3333333333,4.66666666667,15.3333333333,106.396666667,2.32333333333,2.0394,10.0989063333,18.74233,1.99,1.30666666667,488.792333333,698.416666667,0.272,44.75,5.67333333333,7.62333333333,52.3666666667,0.38966
ZnIn2O4,22.8571428571,3.14285714286,14.5714285714,51.2842857143,2.71,0.920640857143,10.777017,28.0270557143,1.70714285714,0.942857142857,252.802428571,877.314571429,0.646571428571,28.0545714286,3.92514285714,2.10828571429,83.0919428571,0.399009942857
ZnO,19.0,3.0,14.0,40.695,2.545,0.73056075,11.5061245,26.542745,1.765,0.92,373.5185,635.169,0.653,27.384,4.2845,3.786,59.35545,0.5801337
ZnS,23.0,3.5,14.0,48.73,2.115,1.03856,9.8771045,20.651135,1.905,1.12,540.5185,948.955,0.548,24.045,4.55,4.54,62.65,0.581345
ZnSe,32.0,4.0,14.0,72.175,2.1,1.01,9.5732945,19.577195,1.955,1.19,593.3135,1069.15,0.3545,25.3765,5.9795,6.375,70.81,0.5902
ZnTe,41.0,4.5,14.0,96.495,1.875,0.9854,9.2018995,18.282195,2.035,1.285,707.6685,1220.65,0.295,25.56,6.69,12.425,82.965,0.59175
