formula,Z,Period,Group,m,kai,EA,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
LiCaSb,24.6666666667,3.66666666667,6.0,56.2736666667,1.34333333333,0.562666666667,6.704423,34.7139066667,2.06333333333,1.48,824.192666667,1744.15,1.47866666667,25.3396666667,2.92733333333,10.4133333333,123.246666667,1.03333333333
LiCdAs,28.0,3.66666666667,9.33333333333,64.7536666667,1.61666666667,0.476,8.05804633333,37.0458366667,1.95,1.3,712.673,1181.48333333,1.38066666667,25.1733333333,4.97066666667,12.3333333333,93.1233333333,0.772333333333
LiCdBr3,31.2,3.8,12.8,71.8082,2.31,2.1426,9.9653878,31.464262,1.91,1.242,369.1438,730.23,1.047,55.59,3.709,5.34,58.229,0.363732
LiCdCl3,20.4,3.2,12.8,45.1382,2.43,2.2938,10.6576858,32.797822,1.85,1.14,312.5638,674.526,1.05,30.5454,3.7654,3.78,55.514,0.3630534
LiCdF3,15.6,2.6,12.8,35.2682,2.922,2.163,13.3307878,39.492142,1.682,0.9,241.6618,582.084,1.257,28.9584,2.8546,2.016,51.35588,0.3631674
LiCdI3,42.0,4.4,12.8,100.0082,2.13,1.95906,9.1478638,29.988442,1.988,1.356,441.6838,805.59,0.891,42.834,4.801,6.516,61.934,0.365694
LiCdN,19.3333333333,3.0,9.33333333333,44.4503333333,1.90333333333,0.182666666667,9.63987966667,40.7165366667,1.85,1.13666666667,370.339666667,910.885,1.61766666667,26.668,3.47866666667,3.22,83.2542666667,0.6050866
LiCdP,22.0,3.33333333333,9.33333333333,50.1036666667,1.62,0.454833333333,8.290743,37.43927,1.93333333333,1.26333333333,455.056333333,1069.65,1.52733333333,24.9013333333,3.66933333333,3.31333333333,86.4566666667,0.605783333333
LiCdSb,34.0,4.0,9.33333333333,80.3803333333,1.57333333333,0.562666666667,7.664643,36.39277,2.02,1.36666666667,650.549,1505.15,1.34,25.37,5.294,9.66666666667,104.98,0.686
LiCl,10.0,2.5,9.0,21.1955,2.07,2.1175,9.1796745,49.7268,1.785,1.15,312.65,927.13,2.0305,29.4045,1.8745,3.1,78.65,0.4235445
