,Z,Period,Group,m,kai,EA,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity,energy,energy_per_atom,volume
CsSrF3,-0.266459903658,-0.376779203786,0.0383939272391,-0.229099423003,1.18193530879,1.02623225048,1.40659112439,0.392208206348,0.271947753585,-0.324416803875,-0.937054643778,-1.11740435263,-0.182365451682,-0.0745112815709,-0.953526944125,-0.99101575904,-1.05964249242,-1.00190157547,0.32719306458,-0.548832020084,-0.473317296672
CsSrI3,1.83380394921,1.78240053987,0.0383939272391,1.84105140631,-0.322333052995,0.777285334776,-0.616735614024,-0.760620487318,1.4972415842,1.5019170372,-0.170048067943,-0.647345096353,-0.981837676413,1.35029143477,0.278626987146,0.105592641329,-0.808859333598,-0.994730941647,0.445646080064,0.686297648539,-0.0247232976653
Ga2O3,-0.807436956668,-1.09650578501,1.31016418877,-0.805185881775,1.28070040325,-0.36175373676,0.535485201675,0.56915698482,-1.35376889749,-1.68615694854,-1.50713154694,-0.0972058767226,0.0273321810344,-0.335698415048,-0.130824904935,-0.943447323539,0.400294853473,-0.945160196209,-2.13475356206,-1.01740044722,0.494671874845
Ga2S3,-0.425570801602,-0.376779203786,1.31016418877,-0.496869627586,0.300646773604,0.0894110959964,-0.410084851258,-0.288447997646,-0.681058559114,-0.72492861113,-0.738675488119,0.694708508341,-0.247895961906,-0.747132841222,0.070862437083,-0.722955927839,0.494022395521,-0.941034910648,0.110766947683,-0.111288826506,-0.147118022587
Ga2Se3,0.433628047297,0.342947377434,1.31016418877,0.402753842168,0.26645885629,0.0475757096325,-0.58643237172,-0.444774756354,-0.440804866837,-0.388498693036,-0.495737538266,0.998049478024,-0.755102111039,-0.583064276247,1.15678354975,-0.186348883925,0.726168437656,-0.910877721145,0.217184910289,0.443530239738,0.292586975672
Ga2Te3,1.2928268962,1.06267395865,1.31016418877,1.33595251073,-0.24635990341,0.0115410281006,-0.802009829215,-0.633279842789,-0.056398959194,0.0680847672341,0.0304708006942,1.38039613892,-0.911064725371,-0.560453249831,1.69651558931,1.582846002,1.07196931292,-0.905598935856,0.237270868747,0.548250086306,0.437267285121
GaAs,0.369983688119,0.342947377434,1.05581013647,0.308615379988,-0.225467287274,-0.900898123372,-0.759215860479,-0.610703508065,-0.552923256567,-0.328421921948,0.574105376287,1.25021319993,-0.735006087903,-0.613335532321,1.51286995868,2.53543316579,1.34290119297,-0.118038227484,0.537851814929,0.244906930127,-0.679622676387
GaBr3,0.529094586063,0.342947377434,1.69169526724,0.469616452364,1.06132793383,1.59388102232,0.433724408007,-0.396013621616,-0.57294439759,-0.448575464124,-1.04157406257,-0.476761280811,-0.52148584209,3.28249708449,0.247101470409,-0.120186843769,-0.296991772404,-1.11585635957,0.0920396168028,0.838033967798,1.09524236048
GaCl3,-0.54490397506,-0.556710849091,1.69169526724,-0.596396109764,1.34622724477,1.82459087359,0.852314685512,-0.193807345018,-0.873261512936,-0.959228018374,-1.31277693064,-0.623201313806,-0.513294528312,0.0678960843919,0.291730966995,-0.595383817262,-0.377449863753,-1.11826374108,0.319292801979,0.574106440206,0.0160302531151
GaF3,-1.02223666889,-1.45636907562,1.69169526724,-0.990904695748,2.51431441964,1.62500854194,2.46857604692,0.821245237211,-1.71414943591,-2.16076344014,-1.65262892342,-0.866221734783,0.0519061223683,-0.135803387237,-0.428987924678,-1.13272193344,-0.500674320034,-1.11785931802,0.174306163024,-0.370768720816,-0.512216912507
